VehicleTask,From,Start,End,To,Distance,VehGrp,Type,Composition & Order,Direction
M009-003/A,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-in,"M009-003/C,M009-003/B,M009-003/A",WHV1
M009-003/B,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-003/B,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-in,"M009-003/C,M009-003/B,M009-003/A",WHV1
M009-003/C,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-out,"M009-003/A,M009-003/B,M009-003/C",WHV1
M009-003/C,RemWhv,6:35;30,18:44;45,AksP13,374.101,MBOB,Pull-in,"M009-003/C,M009-003/B,M009-003/A",WHV1
M009-004/A,RemWhv,6:36;45,25:43;30,RemWhv,581.782,MSG3,Pull-out,"M009-004/A,M009-004/B",WHV2
M009-004/A,RemWhv,6:36;45,25:43;30,RemWhv,581.782,MSG3,Pull-in,"M009-004/B,M009-004/A",WHV2
M009-004/B,RemWhv,6:36;45,25:43;30,RemWhv,581.782,MSG3,Pull-out,"M009-004/A,M009-004/B",WHV2
M009-004/B,RemWhv,6:36;45,25:43;30,RemWhv,581.782,MSG3,Pull-in,"M009-004/B,M009-004/A",WHV2
M009-005/A,AksP13,6:40;45,24:57;30,RemWhv,545.135,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",AKS
M009-005/A,AksP13,6:40;45,24:57;30,RemWhv,545.135,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",AKS
M009-005/B,AksP13,6:40;45,24:57;30,RemWhv,545.135,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",AKS
M009-005/B,AksP13,6:40;45,24:57;30,RemWhv,545.135,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",AKS
M009-005/C,AksP13,6:40;45,24:57;30,RemWhv,545.135,MBOB,Pull-out,"M009-005/A,M009-005/B,M009-005/C",AKS
M009-005/C,AksP13,6:40;45,24:57;30,RemWhv,545.135,MBOB,Pull-in,"M009-005/C,M009-005/B,M009-005/A",AKS
M009-006/A,RemWhv,6:50;30,24:59;45,RemWhv,556.024,MSG3,Pull-out,"M009-006/A,M009-006/B",WHV1
M009-006/A,RemWhv,6:50;30,24:59;45,RemWhv,556.024,MSG3,Pull-in,"M009-006/A,M009-006/B",WHV2
M009-006/B,RemWhv,6:50;30,24:59;45,RemWhv,556.024,MSG3,Pull-out,"M009-006/A,M009-006/B",WHV1
M009-006/B,RemWhv,6:50;30,24:59;45,RemWhv,556.024,MSG3,Pull-in,"M009-006/A,M009-006/B",WHV2
M009-007/A,AksP13,10:55,26:02;30,RemWhv,459.579,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",AKS
M009-007/A,AksP13,10:55,26:02;30,RemWhv,459.579,MBOB,Pull-in,"M009-007/C,M009-007/B,M009-007/A",AKS
M009-007/B,AksP13,10:55,26:02;30,RemWhv,459.579,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",AKS
M009-007/B,AksP13,10:55,26:02;30,RemWhv,459.579,MBOB,Pull-in,"M009-007/C,M009-007/B,M009-007/A",AKS
M009-007/C,AksP13,10:55,26:02;30,RemWhv,459.579,MBOB,Pull-out,"M009-007/A,M009-007/B,M009-007/C",AKS
M009-007/C,AksP13,10:55,26:02;30,RemWhv,459.579,MBOB,Pull-in,"M009-007/C,M009-007/B,M009-007/A",AKS
M009-008/A,AksP13,11:25,18:29;30,RemWhv,225.773,MBOB,Pull-out,"M009-008/A,M009-008/B,M009-008/C",AKS
M009-008/A,AksP13,11:25,18:29;30,RemWhv,225.773,MBOB,Pull-in,"M009-008/A,M009-008/B,M009-008/C",AKS
M009-008/B,AksP13,11:25,18:29;30,RemWhv,225.773,MBOB,Pull-out,"M009-008/A,M009-008/B,M009-008/C",AKS
M009-008/B,AksP13,11:25,18:29;30,RemWhv,225.773,MBOB,Pull-in,"M009-008/A,M009-008/B,M009-008/C",AKS
M009-008/C,AksP13,11:25,18:29;30,RemWhv,225.773,MBOB,Pull-out,"M009-008/A,M009-008/B,M009-008/C",AKS
M009-008/C,AksP13,11:25,18:29;30,RemWhv,225.773,MBOB,Pull-in,"M009-008/A,M009-008/B,M009-008/C",AKS
M010-031/A,RemWhv,5:37;45,24:50;45,RemWhv,681.077,MRSG,Pull-out,"M010-031/A,M010-031/B",WHV1
M010-031/A,RemWhv,5:37;45,24:50;45,RemWhv,681.077,MRSG,Pull-in,M010-031/A,WHV1
M010-031/B,RemWhv,5:37;45,26:07;15,RemWhv,714.637,MRSG,Pull-out,"M010-031/A,M010-031/B",WHV1
M010-031/B,RemWhv,5:37;45,26:07;15,RemWhv,714.637,MRSG,Pull-in,M010-031/B,WHV1
M010-032/A,RemWhv,5:48;30,19:50;45,RemWhv,496.856,MRSG,Pull-out,"M010-032/A,M010-032/B",WHV1
M010-032/A,RemWhv,5:48;30,19:50;45,RemWhv,496.856,MRSG,Pull-in,"M010-032/B,M010-032/A",WHV1
M010-032/B,RemWhv,5:48;30,19:50;45,RemWhv,496.856,MRSG,Pull-out,"M010-032/A,M010-032/B",WHV1
M010-032/B,RemWhv,5:48;30,19:50;45,RemWhv,496.856,MRSG,Pull-in,"M010-032/B,M010-032/A",WHV1
M010-033/A,RemWhv,6:03;30,25:20;45,RemWhv,681.077,MRSG,Pull-out,"M010-033/A,M010-033/B",WHV1
M010-033/A,RemWhv,6:03;30,25:20;45,RemWhv,681.077,MRSG,Pull-in,M010-033/A,WHV1
M010-033/B,RemWhv,6:03;30,25:35;45,RemWhv,681.077,MRSG,Pull-out,"M010-033/A,M010-033/B",WHV1
M010-033/B,RemWhv,6:03;30,25:35;45,RemWhv,681.077,MRSG,Pull-in,M010-033/B,WHV1
M010-034/A,RemWhv,6:18;30,20:20;45,RemWhv,496.856,MRSG,Pull-out,"M010-034/A,M010-034/B",WHV1
M010-034/A,RemWhv,6:18;30,20:20;45,RemWhv,496.856,MRSG,Pull-in,"M010-034/B,M010-034/A",WHV1
M010-034/B,RemWhv,6:18;30,20:20;45,RemWhv,496.856,MRSG,Pull-out,"M010-034/A,M010-034/B",WHV1
M010-034/B,RemWhv,6:18;30,20:20;45,RemWhv,496.856,MRSG,Pull-in,"M010-034/B,M010-034/A",WHV1
M010-035/A,RemWhv,6:33;30,25:50;45,RemWhv,681.077,MRSG,Pull-out,"M010-035/A,M010-035/B",WHV1
M010-035/A,RemWhv,6:33;30,25:50;45,RemWhv,681.077,MRSG,Pull-in,M010-035/A,WHV1
M010-035/B,RemWhv,6:33;30,24:21,RemWhv,619.67,MRSG,Pull-out,"M010-035/A,M010-035/B",WHV1
M010-035/B,RemWhv,6:33;30,24:21,RemWhv,619.67,MRSG,Pull-in,M010-035/B,WHV1
M010-036/A,RemWhv,6:48;30,20:50;45,RemWhv,496.856,MRSG,Pull-out,"M010-036/A,M010-036/B",WHV1
M010-036/A,RemWhv,6:48;30,20:50;45,RemWhv,496.856,MRSG,Pull-in,"M010-036/B,M010-036/A",WHV1
M010-036/B,RemWhv,6:48;30,20:50;45,RemWhv,496.856,MRSG,Pull-out,"M010-036/A,M010-036/B",WHV1
M010-036/B,RemWhv,6:48;30,20:50;45,RemWhv,496.856,MRSG,Pull-in,"M010-036/B,M010-036/A",WHV1
M010-037/A,RemWhv,7:03;30,25:45;15,RemWhv,653.23,MRSG,Pull-out,"M010-037/A,M010-037/B",WHV1
M010-037/A,RemWhv,7:03;30,25:45;15,RemWhv,653.23,MRSG,Pull-in,M010-037/A,WHV1
M010-037/B,RemWhv,7:03;30,19:23;15,RemWhv,435.449,MRSG,Pull-out,"M010-037/A,M010-037/B",WHV1
M010-037/B,RemWhv,7:03;30,19:23;15,RemWhv,435.449,MRSG,Pull-in,M010-037/B,WHV1
M010-038/A,RemWhv,10:44;30,17:42;15,RemWhv,251.228,MRSG,Pull-out,"M010-038/A,M010-038/B",WHV1
M010-038/A,RemWhv,10:44;30,17:42;15,RemWhv,251.228,MRSG,Pull-in,"M010-038/B,M010-038/A",WHV1
M010-038/B,RemWhv,10:44;30,17:42;15,RemWhv,251.228,MRSG,Pull-out,"M010-038/A,M010-038/B",WHV1
M010-038/B,RemWhv,10:44;30,17:42;15,RemWhv,251.228,MRSG,Pull-in,"M010-038/B,M010-038/A",WHV1
M010-039/A,RemWhv,11:14;30,18:12;15,RemWhv,251.228,MRSG,Pull-out,"M010-039/A,M010-039/B",WHV1
M010-039/A,RemWhv,11:14;30,18:12;15,RemWhv,251.228,MRSG,Pull-in,"M010-039/B,M010-039/A",WHV1
M010-039/B,RemWhv,11:14;30,18:12;15,RemWhv,251.228,MRSG,Pull-out,"M010-039/A,M010-039/B",WHV1
M010-039/B,RemWhv,11:14;30,18:12;15,RemWhv,251.228,MRSG,Pull-in,"M010-039/B,M010-039/A",WHV1
M010-040/A,RemWhv,11:44;30,18:42;15,RemWhv,251.228,MRSG,Pull-out,"M010-040/A,M010-040/B",WHV1
M010-040/A,RemWhv,11:44;30,18:42;15,RemWhv,251.228,MRSG,Pull-in,"M010-040/B,M010-040/A",WHV1
M010-040/B,RemWhv,11:44;30,18:42;15,RemWhv,251.228,MRSG,Pull-out,"M010-040/A,M010-040/B",WHV1
M010-040/B,RemWhv,11:44;30,18:42;15,RemWhv,251.228,MRSG,Pull-in,"M010-040/B,M010-040/A",WHV1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
